id;company;color;wheel_base;length;owner_email;nb_cylinders;horsepower;price
74;Ford;red;96.64;164.2;amccoole21@biblegateway.com;2.0;141;28257.0
75;Buick;blue;115.93;187.2;nrabat22@ycombinator.com;2.0;109;38390.0
76;Saturn;yellow;112.4;179.6;mgresch23@ustream.tv;12.0;75;22234.0
77;GMC;red;94.3;146.1;mpancast24@virginia.edu;6.0;68;11582.0
78;Mercury;red;111.34;161.9;tcodron25@so-net.ne.jp;8.0;140;29407.0
79;Dodge;red;96.76;184.7;dmattiacci26@sun.com;12.0;239;40332.0
80;Volvo;yellow;116.17;148.6;efouracres27@blogspot.com;5.0;75;35218.0
81;GMC;blue;91.7;198.2;lwadeson28@bloglines.com;;141;37996.0
82;Cadillac;black;92.0;154.1;fcrinkley29@newyorker.com;6.0;213;34021.0
83;Nissan;blue;107.36;203.2;dcotterell2a@discuz.net;12.0;99;6032.0
84;Plymouth;red;117.72;205.1;cdomoni2b@rediff.com;8.0;206;7929.0
85;Scion;;;194.7;abaly2c@joomla.org;6.0;58;18733.0
86;Chevrolet;red;100.28;141.5;atasch2d@ehow.com;;126;27763.0
87;Nissan;blue;88.14;148.1;lgliddon2e@clickbank.net;8.0;144;14288.0
88;Cadillac;yellow;115.86;207.2;aolenane2f@51.la;12.0;208;33068.0
89;BMW;yellow;115.28;150.2;shuddlestone2g@newyorker.com;;108;17672.0
90;Volvo;red;112.58;199.0;zarter2h@businesswire.com;8.0;173;36458.0
91;Infiniti;black;111.85;142.5;sbossons2i@blogspot.com;5.0;87;43116.0
92;Toyota;yellow;113.75;164.2;dgabitis2j@posterous.com;12.0;188;44528.0
93;Mercury;red;114.05;179.4;nramsey2k@google.nl;2.0;81;6568.0
94;Toyota;blue;92.45;154.6;crubega2l@dell.com;8.0;141;5435.0
95;Pontiac;red;100.15;181.2;fclynter2m@tuttocitta.it;;184;22604.0
96;Dodge;blue;93.04;174.9;tjevons2n@hugedomains.com;4.0;79;15638.0
97;Nissan;blue;117.49;159.5;ylangeley2o@epa.gov;4.0;221;27696.0
98;Buick;;;162.2;kboome2p@ftc.gov;4.0;51;18878.0
99;BMW;black;93.14;183.2;btatersale2q@patch.com;4.0;140;36436.0
100;BMW;red;92.44;204.6;galentyev2r@delicious.com;4.0;229;10629.0
101;Pontiac;blue;109.94;149.1;cstroder2s@ameblo.jp;;226;12198.0
102;Mazda;yellow;109.12;206.4;hjoinsey2t@sina.com.cn;8.0;235;43108.0
103;Infiniti;yellow;106.69;161.1;aseabon2u@abc.net.au;6.0;142;29270.0
104;Honda;black;107.17;143.3;schallens2v@google.it;;109;25394.0
105;Mitsubishi;yellow;92.14;201.9;kbenneton2w@deviantart.com;2.0;231;17725.0
106;Ford;red;107.16;178.7;ugillott2x@cornell.edu;8.0;74;
107;Audi;black;101.73;152.0;cpundy2y@list-manage.com;2.0;221;30656.0
108;Mercedes-Benz;blue;98.05;152.7;mattwell2z@adobe.com;8.0;52;19505.0
109;Chevrolet;yellow;100.56;149.9;tchainey30@ftc.gov;2.0;84;27744.0
110;Maserati;black;114.01;175.2;gmoules31@diigo.com;6.0;72;11906.0
111;Maserati;yellow;90.51;193.8;dworshall32@google.ru;5.0;123;23049.0
112;Hummer;red;108.11;148.2;ailden33@over-blog.com;5.0;138;20456.0
113;Volkswagen;yellow;98.75;159.3;sriddall34@guardian.co.uk;6.0;191;34493.0
114;Chevrolet;black;101.77;191.8;awaywell35@blinklist.com;6.0;179;32492.0
115;Dodge;red;113.24;194.9;mbricham36@flavors.me;8.0;72;5972.0
116;Dodge;red;110.79;175.0;sniblett37@marriott.com;12.0;196;15394.0
117;Chevrolet;black;100.03;170.7;ltwinberrow38@fotki.com;6.0;61;22777.0
118;Mazda;blue;91.15;166.0;nbiggins39@eepurl.com;12.0;211;40105.0
119;Nissan;;;161.7;msparrowhawk3a@netscape.com;8.0;50;16758.0
120;Ford;red;117.82;207.5;lburnell3b@pcworld.com;3.0;229;34803.0
121;Suzuki;yellow;114.62;205.6;cstroyan3c@bluehost.com;2.0;145;32689.0
122;Dodge;;;166.8;fgroneway3d@reference.com;6.0;68;43090.0
123;Saturn;black;106.08;166.6;colfert3e@google.com.au;6.0;154;34838.0
124;Dodge;blue;117.72;159.6;dfrancillo3f@earthlink.net;;235;8184.0
125;Plymouth;black;88.83;194.2;nsertin3g@dedecms.com;3.0;191;40671.0
126;Nissan;yellow;99.26;152.2;rtoffanelli3h@aboutads.info;12.0;185;8328.0
127;Jaguar;red;107.87;196.2;jalf3i@pbs.org;2.0;104;21408.0
128;Audi;red;104.3;157.7;evandendael3j@wp.com;;89;13910.0
129;Lamborghini;black;99.87;145.1;ikinglesyd3k@scribd.com;6.0;146;15618.0
130;Honda;blue;90.16;196.3;czammitt3l@facebook.com;6.0;229;31640.0
131;Chevrolet;red;119.66;165.9;jdusting3m@archive.org;2.0;175;9436.0
132;Mitsubishi;;;182.7;dswidenbank3n@wp.com;3.0;87;11272.0
133;Ford;red;119.7;205.8;ghuxham3o@weebly.com;4.0;154;37264.0
134;Dodge;red;99.25;185.9;livashchenko3p@google.ca;6.0;156;9386.0
135;Volkswagen;yellow;119.65;165.1;cdenes3q@gravatar.com;12.0;159;
136;Geo;blue;115.67;142.2;khearst3r@tamu.edu;2.0;76;32638.0
137;Suzuki;blue;113.13;173.0;joduane3s@123-reg.co.uk;8.0;204;42316.0
138;Suzuki;yellow;92.87;142.3;blitton3t@quantcast.com;2.0;179;10714.0
139;Land Rover;blue;92.43;198.1;mbullon3u@google.es;2.0;182;7546.0
140;Lexus;;;189.5;gemblem3v@issuu.com;6.0;210;18177.0
141;Dodge;red;107.2;176.5;dvescovo3w@chronoengine.com;3.0;117;29805.0
142;Jeep;black;113.19;;kchippendale3x@tamu.edu;12.0;115;38943.0
143;Nissan;yellow;114.51;189.0;fnorthall3y@exblog.jp;12.0;241;22746.0
144;Toyota;;;162.1;rcaulket3z@elegantthemes.com;4.0;177;25267.0
145;Dodge;blue;93.1;170.8;rianson40@typepad.com;;241;39702.0
146;Audi;yellow;113.41;153.3;shaigh41@home.pl;;218;12013.0
147;Hyundai;red;112.28;182.2;bgarms42@jalbum.net;4.0;242;37923.0
148;Mercury;black;116.87;153.0;asautter43@apple.com;2.0;92;25335.0
149;Ford;black;89.3;164.8;borpwood44@seattletimes.com;12.0;208;41225.0
150;Mitsubishi;blue;117.7;205.3;eputnam45@blogger.com;6.0;232;19248.0
151;Mitsubishi;red;91.56;148.7;ccastilla46@gov.uk;2.0;218;35077.0
152;Ford;black;110.45;140.1;kbreacher47@alibaba.com;4.0;152;5450.0
153;Alfa Romeo;red;112.44;140.9;szoppie48@netlog.com;8.0;202;34275.0
154;Buick;red;89.43;184.2;vrosendorf49@berkeley.edu;5.0;153;14314.0
155;Nissan;blue;100.38;144.8;ltabner4a@census.gov;12.0;107;38233.0
156;Dodge;yellow;94.88;167.8;bpauling4b@chron.com;4.0;102;43751.0
157;Chevrolet;black;104.11;153.0;owroath4c@blog.com;;57;6892.0
158;Pontiac;black;109.77;151.4;mreditt4d@patch.com;5.0;89;5964.0
159;Pontiac;blue;107.31;196.4;gmitchel4e@si.edu;6.0;126;16045.0
160;Chevrolet;black;89.53;150.5;mbanting4f@yolasite.com;3.0;68;
161;Pontiac;red;89.19;177.2;emounsie4g@webeden.co.uk;2.0;88;15051.0
162;Buick;black;92.89;178.4;jstanbro4h@behance.net;2.0;79;27170.0
163;BMW;black;95.26;203.9;pjirsa4i@hostgator.com;4.0;160;37436.0
164;Nissan;black;113.02;175.5;jskones4j@mtv.com;2.0;74;14890.0
165;Nissan;red;100.71;198.9;bocriane4k@tmall.com;2.0;182;39360.0
166;Saturn;blue;92.35;140.9;eboulton4l@cloudflare.com;8.0;59;25360.0
167;Chevrolet;blue;110.86;165.2;otwizell4m@diigo.com;3.0;142;38403.0
168;Plymouth;red;119.13;207.0;vdixcee4n@so-net.ne.jp;3.0;79;9415.0
169;Mercedes-Benz;red;92.1;197.8;dmoggle4o@home.pl;4.0;188;33728.0
170;MINI;black;94.2;201.0;jorht4p@google.com.br;;181;32986.0
171;Pontiac;yellow;118.22;194.5;jsplevins4q@google.co.jp;3.0;62;28032.0
172;Jeep;black;109.65;185.7;gwisbey4r@icio.us;12.0;204;39062.0
173;Buick;black;89.74;199.1;galleburton4s@posterous.com;2.0;140;25936.0
174;Plymouth;yellow;98.13;203.2;mmachans4t@fda.gov;;86;32565.0
175;Mercury;yellow;116.79;143.2;jkhristyukhin4u@chron.com;2.0;187;6210.0
176;Chevrolet;yellow;109.23;173.1;apales4v@yale.edu;5.0;112;14271.0
177;Chevrolet;yellow;102.12;170.6;cdaw4w@soundcloud.com;;122;22488.0
178;Dodge;red;115.82;174.6;lbew4x@patch.com;4.0;157;29503.0
179;Lincoln;red;96.99;148.0;gletteresse4y@skyrock.com;12.0;235;22513.0
180;Cadillac;yellow;113.91;141.8;eblockwell4z@clickbank.net;8.0;135;21316.0
181;Chrysler;;;168.1;jdelgua50@vistaprint.com;5.0;195;43617.0
182;Kia;black;106.13;142.3;achurchyard51@photobucket.com;3.0;198;39714.0
183;Mercury;red;99.19;168.8;llempel52@hhs.gov;12.0;168;38701.0
184;Chevrolet;yellow;95.39;181.5;sjanko53@unicef.org;6.0;122;35810.0
185;Jeep;yellow;111.65;177.6;fkittow54@wired.com;2.0;240;16763.0
186;Mercedes-Benz;black;105.01;187.6;gburstowe55@hubpages.com;8.0;233;14687.0
187;Maybach;yellow;89.45;146.5;lshowte56@who.int;12.0;216;23495.0
188;Mitsubishi;red;93.85;151.5;pgarm57@shareasale.com;2.0;112;21051.0
189;Pontiac;blue;100.11;158.1;nclash58@ox.ac.uk;12.0;173;36346.0
190;Spyker;red;92.18;158.5;jallchorne59@upenn.edu;8.0;162;15188.0
191;Ford;yellow;93.28;173.5;kswinfon5a@behance.net;5.0;125;13980.0
192;Audi;black;103.59;169.6;csexton5b@yellowbook.com;3.0;153;7378.0
193;Isuzu;blue;95.89;199.5;ichidzoy5c@mapy.cz;;183;7006.0
194;Ford;yellow;94.32;172.0;afolk5d@t-online.de;6.0;94;15863.0
195;Chevrolet;yellow;96.1;160.0;fgierth5e@vimeo.com;8.0;91;36830.0
196;Ford;yellow;92.22;153.1;mrookesby5f@huffingtonpost.com;2.0;163;43843.0
197;Lincoln;yellow;98.4;194.4;rnowell5g@forbes.com;6.0;161;24087.0
198;Ford;black;92.25;192.1;gnazaret5h@blogger.com;2.0;90;22900.0
199;Buick;yellow;104.11;180.7;gvarran5i@w3.org;;137;13593.0
200;Chrysler;blue;100.92;203.6;hpinch5j@wikimedia.org;6.0;157;8855.0
201;Mitsubishi;black;114.29;180.7;lbassano5k@dion.ne.jp;12.0;201;13735.0
202;Chrysler;red;104.07;143.2;smanzell5l@soup.io;3.0;68;41766.0
203;Chevrolet;blue;102.71;185.8;bcregan5m@accuweather.com;8.0;228;14647.0
204;Saab;red;92.14;182.1;ocourtes5n@va.gov;;150;18838.0
205;Mitsubishi;red;93.6;151.7;fcunnane5o@infoseek.co.jp;8.0;133;34802.0
206;Porsche;yellow;102.66;206.1;aclorley5p@wordpress.org;6.0;149;15766.0
207;Ford;blue;98.01;204.6;vgregore5q@yandex.ru;12.0;178;27363.0
208;Nissan;red;108.13;180.8;ebonfield5r@wordpress.org;12.0;173;36891.0
209;Cadillac;black;90.23;202.4;bmeredith5s@hhs.gov;8.0;171;28356.0
210;Kia;blue;115.21;;bnannoni5t@multiply.com;12.0;110;20357.0
211;Nissan;blue;113.08;200.8;jkubicka5u@marriott.com;;49;12450.0
212;Volvo;blue;113.27;157.4;jvosse5v@cafepress.com;3.0;231;14714.0
213;Volkswagen;yellow;108.93;189.1;sivantsov5w@lycos.com;;125;20517.0
214;Plymouth;black;116.07;159.3;gubsdell5x@youku.com;;131;10600.0
215;Cadillac;black;106.89;140.1;hgoodread5y@amazon.com;8.0;196;5429.0
216;Dodge;yellow;101.91;163.9;gsoule5z@etsy.com;;113;9763.0
217;Nissan;blue;91.41;176.8;mflemming60@accuweather.com;5.0;93;8710.0
218;Bentley;black;115.75;203.7;hbegwell61@indiegogo.com;8.0;201;29783.0
219;Audi;red;93.36;172.0;ashellard62@alibaba.com;2.0;105;8139.0
220;Mitsubishi;red;116.98;159.5;epaine63@merriam-webster.com;12.0;177;41242.0
221;Nissan;black;95.46;170.3;afoyston64@vkontakte.ru;;228;40666.0
222;Jeep;red;117.44;157.0;afrow65@webmd.com;3.0;150;9038.0
223;Ford;red;111.35;205.2;nsurphliss66@cyberchimps.com;12.0;191;8463.0
224;Toyota;red;104.35;142.8;mdando67@time.com;2.0;164;20065.0
225;Pontiac;blue;109.44;149.5;amarkos68@domainmarket.com;2.0;236;20490.0
226;Porsche;red;100.56;176.4;gattac69@storify.com;2.0;178;29001.0
227;Saab;blue;95.13;195.9;stingly6a@1688.com;2.0;87;24631.0
228;Porsche;red;90.45;166.9;msalvidge6b@home.pl;4.0;116;5828.0
229;Audi;black;119.29;190.4;tpaxman6c@ask.com;2.0;218;41987.0
230;Mitsubishi;red;116.12;205.4;cingyon6d@dell.com;4.0;223;11350.0
231;Jeep;yellow;100.48;193.3;rsilvester6e@meetup.com;5.0;168;37627.0
232;Ford;red;97.57;201.1;candrejs6f@netlog.com;5.0;98;17945.0
233;Toyota;red;94.83;173.2;gbourgaize6g@gnu.org;4.0;221;9548.0
234;Chevrolet;black;97.93;150.9;aluchelli6h@google.ca;8.0;208;6284.0
235;Chevrolet;blue;91.12;149.2;iwohler6i@wix.com;;129;17811.0
236;Volvo;;;156.2;bmacmillan6j@icio.us;2.0;188;7533.0
237;GMC;blue;91.54;177.9;dgoolden6k@multiply.com;4.0;129;36985.0
238;Toyota;blue;106.93;144.9;brawdall6l@desdev.cn;6.0;63;36751.0
239;Dodge;red;98.69;202.1;rpulley6m@cargocollective.com;8.0;228;16574.0
240;Mercury;yellow;107.11;203.2;meastcourt6n@umn.edu;6.0;74;39862.0
241;Mitsubishi;blue;91.16;;bsunderland6o@360.cn;2.0;188;
242;Mazda;red;113.29;199.4;dtoal6p@chron.com;4.0;67;44742.0
243;Buick;red;115.33;180.6;pbestwick6q@altervista.org;5.0;219;37945.0
244;Ford;blue;95.92;153.3;gbackson6r@sfgate.com;2.0;137;39309.0
245;Jaguar;yellow;111.93;192.1;byglesia6s@irs.gov;5.0;233;14368.0
246;GMC;black;101.47;158.9;lformilli6t@ftc.gov;12.0;84;18773.0
247;Jeep;yellow;103.71;174.6;brembrandt6u@craigslist.org;6.0;188;28204.0
248;Mitsubishi;yellow;106.51;161.2;mcoye6v@bbc.co.uk;2.0;179;42393.0
249;Saab;black;111.51;166.0;scoat6w@chron.com;2.0;208;27056.0
250;Chevrolet;black;116.79;195.6;bcowdrey6x@tinypic.com;8.0;91;42335.0
251;Citroën;yellow;118.31;201.4;jthulborn6y@feedburner.com;4.0;182;27959.0
252;Porsche;blue;119.68;184.1;lkaplan6z@mapy.cz;8.0;152;23570.0
253;Volkswagen;blue;100.47;189.9;ckobpa70@macromedia.com;5.0;97;37053.0
254;BMW;blue;91.1;201.6;afosh71@soup.io;;77;25378.0
255;Saab;red;97.21;175.3;jpryell72@infoseek.co.jp;4.0;169;37257.0
256;Nissan;black;119.92;164.6;ciannelli73@go.com;6.0;52;33298.0
257;Land Rover;blue;96.29;193.8;rrennison74@seattletimes.com;6.0;60;43294.0
258;GMC;yellow;89.27;170.7;spfeifer75@nhs.uk;;237;11260.0
259;Mercury;;;151.4;awaltho76@usda.gov;5.0;236;31783.0
260;Pontiac;red;96.33;166.2;broby77@nbcnews.com;8.0;237;27078.0
261;Land Rover;;;193.8;dohingerty78@gizmodo.com;3.0;58;24016.0
262;Mitsubishi;black;119.44;172.5;wmacdunleavy79@yellowbook.com;3.0;71;31476.0
263;Mercury;red;99.4;168.1;afidilis7a@netscape.com;5.0;232;5042.0
264;Nissan;blue;92.66;195.3;ldudley7b@delicious.com;12.0;107;
265;Mazda;;;204.2;efantini7c@infoseek.co.jp;3.0;179;42649.0
266;GMC;yellow;105.99;165.4;ncowsby7d@purevolume.com;;233;20564.0
267;Subaru;black;104.71;142.1;svankeev7e@joomla.org;2.0;64;29810.0
268;Honda;;;152.9;jtruwert7f@icq.com;6.0;117;8196.0
269;Chevrolet;black;102.23;172.6;ilearned7g@comcast.net;5.0;104;27427.0
270;Lexus;blue;115.69;147.9;catherton7h@xinhuanet.com;5.0;173;10442.0
271;Chevrolet;black;108.68;197.5;nvandecappelle7i@ucoz.ru;4.0;77;41565.0
272;Volvo;yellow;116.42;191.1;cwortley7j@angelfire.com;5.0;195;
273;Dodge;yellow;105.49;156.0;lruppertz7k@myspace.com;;190;34987.0
274;Kia;;;146.5;eclift7l@vk.com;6.0;227;16371.0
275;Panoz;blue;104.02;206.6;mrizzardo7m@businessweek.com;;81;21491.0
276;Lexus;red;99.78;204.5;lswenson7n@timesonline.co.uk;2.0;125;15596.0
277;BMW;yellow;104.93;154.5;llackie7o@accuweather.com;6.0;141;22468.0
278;Dodge;yellow;102.61;200.6;pgrent7p@time.com;4.0;53;22498.0
279;Porsche;yellow;112.6;157.2;cleverage7q@ucsd.edu;2.0;155;26391.0
280;Chevrolet;yellow;98.73;151.7;kbritten7r@ox.ac.uk;6.0;64;36790.0
281;Chevrolet;black;100.57;159.9;ksenechault7s@hubpages.com;4.0;188;16240.0
282;Hyundai;red;100.57;197.4;wdudney7t@wired.com;6.0;122;
283;BMW;red;105.37;179.4;hquogan7u@msu.edu;2.0;60;27570.0
284;Ford;red;111.23;151.9;lthrussell7v@youku.com;6.0;69;28193.0
285;Kia;blue;93.7;145.6;fmitchely7w@about.com;8.0;205;21149.0
286;Mercedes-Benz;blue;94.47;194.1;mplampeyn7x@ifeng.com;6.0;212;35026.0
287;Mazda;red;109.22;207.4;wbrotherhood7y@dailymail.co.uk;8.0;215;16763.0
288;Buick;red;108.59;198.5;eeadmeads7z@ibm.com;5.0;50;8794.0
289;Mercedes-Benz;yellow;95.12;173.5;dwoodburne80@ft.com;2.0;208;35021.0
290;Ford;blue;116.81;206.9;vionesco81@bloomberg.com;3.0;224;43765.0
291;Subaru;yellow;91.71;;bescalante82@nifty.com;8.0;182;10007.0
292;Saab;yellow;109.93;159.3;ppegler83@acquirethisname.com;8.0;139;32986.0
293;Bentley;blue;89.59;180.0;bsabathe84@meetup.com;5.0;108;6028.0
294;Lexus;red;91.0;178.7;dtosh85@virginia.edu;12.0;224;44864.0
295;Buick;red;108.24;187.0;kjouen86@sourceforge.net;12.0;115;31472.0
296;Honda;red;96.21;144.1;snealon87@nationalgeographic.com;;228;18056.0
297;GMC;yellow;106.96;165.6;ccowling88@behance.net;4.0;52;20153.0
298;Suzuki;red;119.35;174.2;cmccritichie89@mtv.com;3.0;101;27728.0
299;Oldsmobile;;;155.1;dfrancescone8a@sitemeter.com;6.0;84;25651.0
300;Chevrolet;blue;91.01;172.2;jhoneywood8b@fema.gov;5.0;211;44085.0
301;GMC;;;189.6;kholdall8c@list-manage.com;;165;37249.0
302;Toyota;yellow;115.13;179.3;ktregenza8d@disqus.com;3.0;177;42276.0
303;Dodge;red;99.09;182.3;mgrimditch8e@ox.ac.uk;2.0;86;43276.0
304;Mazda;blue;111.53;198.3;vgiacopazzi8f@nsw.gov.au;6.0;242;44319.0
305;Mitsubishi;;;194.1;gpoundford8g@constantcontact.com;8.0;135;35729.0
306;GMC;;;198.7;dlyven8h@webs.com;4.0;167;32612.0
307;Acura;black;105.75;157.3;tlelande8i@omniture.com;3.0;94;42018.0
308;Daewoo;yellow;99.16;;hphuprate8j@archive.org;2.0;191;19302.0
309;Subaru;yellow;109.47;204.5;lfrancesch8k@etsy.com;4.0;144;21561.0
310;Lexus;red;88.68;188.1;aspini8l@cornell.edu;3.0;77;12888.0
311;Land Rover;;;165.4;smurrock8m@cmu.edu;12.0;222;12740.0
312;Ford;yellow;94.42;144.2;crustman8n@marriott.com;2.0;213;22522.0
313;Lexus;yellow;89.62;180.0;zalthrop8o@ca.gov;5.0;141;
314;Dodge;yellow;119.07;169.7;ytupie8p@homestead.com;3.0;117;6596.0
315;Toyota;yellow;117.42;141.5;lmcgunley8q@imageshack.us;3.0;174;7143.0
316;Mitsubishi;yellow;99.95;144.4;mkoenen8r@washingtonpost.com;12.0;125;9006.0
317;Buick;blue;109.86;167.7;reede8s@twitter.com;5.0;88;18894.0
318;Mercury;red;100.05;144.2;eroyden8t@ask.com;12.0;156;7345.0
319;Hyundai;blue;118.67;190.1;cscarsbrick8u@mac.com;;150;17857.0
320;Kia;blue;96.97;149.3;cbatecok8v@sun.com;;64;12824.0
321;Nissan;red;101.93;163.7;eealden8w@shutterfly.com;5.0;242;15689.0
322;Buick;red;101.36;181.9;ereglar8x@free.fr;;140;23811.0
323;Aston Martin;red;110.32;201.1;gyedall8y@fc2.com;;145;41822.0
324;Ford;black;112.92;165.5;hnaptine8z@scientificamerican.com;6.0;231;9750.0
325;Toyota;black;96.91;188.4;broust90@technorati.com;5.0;61;
326;Pontiac;yellow;94.97;168.2;wwardroper91@opera.com;;128;25130.0
327;Ford;black;116.53;201.0;mlunny92@army.mil;;68;16291.0
328;Volkswagen;red;108.53;205.3;kmorillas93@bloglines.com;12.0;179;15804.0
329;Maybach;yellow;103.72;159.6;jphetteplace94@miitbeian.gov.cn;2.0;56;19945.0
330;BMW;red;109.38;188.6;hcamlin95@ftc.gov;6.0;171;31090.0
331;Ford;red;93.81;188.5;galdhouse96@lycos.com;2.0;114;23595.0
332;GMC;red;104.66;194.0;dmoro97@nsw.gov.au;5.0;72;30101.0
333;Ford;yellow;90.28;160.5;rellins98@constantcontact.com;;102;14666.0
