id,company,color,wheel-base-style-circum-diam,length,nbSeats,num-of-cylinders,horsepower,average-mileage,price
69,Mitsubishi,color-blue,95.84,176.066240549,mupfold1w@whitehouse.gov,eight,187,,19559
70,Audi,color-red,111.2,157.205187475,dcarah1x@rediff.com,BuG,242,,16864
71,Pontiac,color-red,110.48,190.165288135,gsuche1y@google.nl,BuG,76,,17634
72,Ford,color-yellow,108.63,173.177022227,edriffe1z@army.mil,twelve,156,,36132
73,Rolls-Royce,color-yellow,107.84,150.854109696,mbricklebank20@php.net,BuG,187,,10933
74,Ford,color-red,96.64,164.236409508,amccoole21@biblegateway.com,two,141,,28257
75,Buick,color-blue,115.93,187.235000393,nrabat22@ycombinator.com,two,109,,38390
76,Saturn,color-yellow,112.4,179.572659507,mgresch23@ustream.tv,twelve,75,5688.19,22234
77,GMC,color-red,94.3,146.134024007,mpancast24@virginia.edu,six6,68,,11582
78,Mercury,color-red,111.34,161.897132918,tcodron25@so-net.ne.jp,eight,140,,29407
79,Dodge,color-red,96.76,184.675363938,dmattiacci26@sun.com,twelve,239,,40332
80,Volvo,color-yellow,116.17,148.605926626,efouracres27@blogspot.com,five5,75,6473.84,35218
81,GMC,color-blue,91.7,198.222393628,lwadeson28@bloglines.com,BuG,141,,37996
82,Cadillac,color-blac,92.0,154.085524701,fcrinkley29@newyorker.com,six6,213,,34021
83,Nissan,color-blue,107.36,203.238970997,dcotterell2a@discuz.net,twelve,99,,6032
84,Plymouth,color-red,117.72,205.13718061,cdomoni2b@rediff.com,eight,206,,7929
85,Scion,,,194.749345814,abaly2c@joomla.org,six6,58,,18733
86,Chevrolet,color-red,100.28,141.548040422,atasch2d@ehow.com,BuG,126,,27763
87,Nissan,color-blue,88.14,148.057822104,lgliddon2e@clickbank.net,eight,144,,14288
88,Cadillac,color-yellow,115.86,207.218510913,aolenane2f@51.la,twelve,208,,33068
89,BMW,color-yellow,115.28,150.247377681,shuddlestone2g@newyorker.com,BuG,108,,17672
90,Volvo,color-red,112.58,198.956354537,zarter2h@businesswire.com,eight,173,,36458
91,Infiniti,color-blac,111.85,142.517210101,sbossons2i@blogspot.com,five5,87,,43116
92,Toyota,color-yellow,113.75,164.214036606,dgabitis2j@posterous.com,twelve,188,,44528
93,Mercury,color-red,114.05,179.387460817,nramsey2k@google.nl,two,81,,6568
94,Toyota,color-blue,92.45,154.643467619,crubega2l@dell.com,eight,141,,5435
95,Pontiac,color-red,100.15,181.208561566,fclynter2m@tuttocitta.it,BuG,184,,22604
96,Dodge,color-blue,93.04,174.88364257,tjevons2n@hugedomains.com,[four4,79,,15638
97,Nissan,color-blue,117.49,159.490002764,ylangeley2o@epa.gov,[four4,221,2038.94,27696
98,Buick,,,162.228713223,kboome2p@ftc.gov,[four4,51,,18878
99,BMW,color-blac,93.14,183.202829795,btatersale2q@patch.com,[four4,140,,36436
100,BMW,color-red,92.44,204.605635253,galentyev2r@delicious.com,[four4,229,,10629
101,Pontiac,color-blue,109.94,149.095755015,cstroder2s@ameblo.jp,BuG,226,,12198
102,Mazda,color-yellow,109.12,206.427755303,hjoinsey2t@sina.com.cn,eight,235,,43108
103,Infiniti,color-yellow,106.69,161.149318657,aseabon2u@abc.net.au,six6,142,,29270
104,Honda,color-blac,107.17,143.262934029,schallens2v@google.it,BuG,109,,25394
105,Mitsubishi,color-yellow,92.14,201.922824434,kbenneton2w@deviantart.com,two,231,,17725
106,Ford,color-red,107.16,178.650800151,ugillott2x@cornell.edu,eight,74,,
107,Audi,color-blac,101.73,152.019834437,cpundy2y@list-manage.com,two,221,,30656
108,Mercedes-Benz,color-blue,98.05,152.689457103,mattwell2z@adobe.com,eight,52,,19505
109,Chevrolet,color-yellow,100.56,149.894630331,tchainey30@ftc.gov,two,84,,27744
110,Maserati,color-blac,114.01,175.16896829,gmoules31@diigo.com,six6,72,,11906
111,Maserati,color-yellow,90.51,193.76232415,dworshall32@google.ru,five5,123,,23049
112,Hummer,color-red,108.11,148.217829004,ailden33@over-blog.com,five5,138,,20456
113,Volkswagen,color-yellow,98.75,159.341144178,sriddall34@guardian.co.uk,six6,191,,34493
114,Chevrolet,color-blac,101.77,191.806136486,awaywell35@blinklist.com,six6,179,,32492
115,Dodge,color-red,113.24,194.936130729,mbricham36@flavors.me,eight,72,,5972
116,Dodge,color-red,110.79,175.029001825,sniblett37@marriott.com,twelve,196,,15394
117,Chevrolet,color-blac,100.03,170.669570292,ltwinberrow38@fotki.com,six6,61,,22777
118,Mazda,color-blue,91.15,165.95262196,nbiggins39@eepurl.com,twelve,211,,40105
119,Nissan,,,161.702624182,msparrowhawk3a@netscape.com,eight,50,,16758
120,Ford,color-red,117.82,207.480000249,lburnell3b@pcworld.com,three,229,,34803
121,Suzuki,color-yellow,114.62,205.641736043,cstroyan3c@bluehost.com,two,145,,32689
122,Dodge,,,166.818082368,fgroneway3d@reference.com,six6,68,,43090
123,Saturn,color-blac,106.08,166.610454639,colfert3e@google.com.au,six6,154,,34838
124,Dodge,color-blue,117.72,159.578300298,dfrancillo3f@earthlink.net,BuG,235,,8184
125,Plymouth,color-blac,88.83,194.189875761,nsertin3g@dedecms.com,three,191,,40671
126,Nissan,color-yellow,99.26,152.161970957,rtoffanelli3h@aboutads.info,twelve,185,3853.19,8328
127,Jaguar,color-red,107.87,196.211098555,jalf3i@pbs.org,two,104,,21408
128,Audi,color-red,104.3,157.700493969,evandendael3j@wp.com,BuG,89,,13910
129,Lamborghini,color-blac,99.87,145.126483809,ikinglesyd3k@scribd.com,six6,146,,15618
130,Honda,color-blue,90.16,196.301484393,czammitt3l@facebook.com,six6,229,,31640
131,Chevrolet,color-red,119.66,165.921859888,jdusting3m@archive.org,two,175,,9436
132,Mitsubishi,,,182.749103571,dswidenbank3n@wp.com,three,87,,11272
133,Ford,color-red,119.7,205.836871076,ghuxham3o@weebly.com,[four4,154,,37264
134,Dodge,color-red,99.25,185.896360813,livashchenko3p@google.ca,six6,156,,9386
135,Volkswagen,color-yellow,119.65,165.064225652,cdenes3q@gravatar.com,twelve,159,,
136,Geo,color-blue,115.67,142.192034645,khearst3r@tamu.edu,two,76,,32638
137,Suzuki,color-blue,113.13,172.980538316,joduane3s@123-reg.co.uk,eight,204,,42316
138,Suzuki,color-yellow,92.87,142.260173931,blitton3t@quantcast.com,two,179,,10714
139,Land Rover,color-blue,92.43,198.095124228,mbullon3u@google.es,two,182,,7546
140,Lexus,,,189.499412721,gemblem3v@issuu.com,six6,210,5527.43,18177
141,Dodge,color-red,107.2,176.518261568,dvescovo3w@chronoengine.com,three,117,,29805
142,Jeep,color-blac,113.19,,kchippendale3x@tamu.edu,twelve,115,,38943
143,Nissan,color-yellow,114.51,189.033403426,fnorthall3y@exblog.jp,twelve,241,,22746
144,Toyota,,,162.106618944,rcaulket3z@elegantthemes.com,[four4,177,,25267
145,Dodge,color-blue,93.1,170.807761754,rianson40@typepad.com,BuG,241,,39702
146,Audi,color-yellow,113.41,153.328420216,shaigh41@home.pl,BuG,218,,12013
147,Hyundai,color-red,112.28,182.174393345,bgarms42@jalbum.net,[four4,242,,37923
148,Mercury,color-blac,116.87,152.961646299,asautter43@apple.com,two,92,,25335
149,Ford,color-blac,89.3,164.83860135,borpwood44@seattletimes.com,twelve,208,,41225
150,Mitsubishi,color-blue,117.7,205.326145651,eputnam45@blogger.com,six6,232,,19248
151,Mitsubishi,color-red,91.56,148.675596224,ccastilla46@gov.uk,two,218,,35077
152,Ford,color-blac,110.45,140.072659957,kbreacher47@alibaba.com,[four4,152,,5450
153,Alfa Romeo,color-red,112.44,140.944830706,szoppie48@netlog.com,eight,202,,34275
154,Buick,color-red,89.43,184.240801534,vrosendorf49@berkeley.edu,five5,153,,14314
155,Nissan,color-blue,100.38,144.843175968,ltabner4a@census.gov,twelve,107,,38233
156,Dodge,color-yellow,94.88,167.770147469,bpauling4b@chron.com,[four4,102,,43751
157,Chevrolet,color-blac,104.11,152.950611754,owroath4c@blog.com,BuG,57,,6892
158,Pontiac,color-blac,109.77,151.406647515,mreditt4d@patch.com,five5,89,,5964
159,Pontiac,color-blue,107.31,196.429567189,gmitchel4e@si.edu,six6,126,,16045
160,Chevrolet,color-blac,89.53,150.451654527,mbanting4f@yolasite.com,three,68,,
161,Pontiac,color-red,89.19,177.189381413,emounsie4g@webeden.co.uk,two,88,,15051
162,Buick,color-blac,92.89,178.358396757,jstanbro4h@behance.net,two,79,,27170
163,BMW,color-blac,95.26,203.920439916,pjirsa4i@hostgator.com,[four4,160,,37436
164,Nissan,color-blac,113.02,175.496239332,jskones4j@mtv.com,two,74,,14890
165,Nissan,color-red,100.71,198.867337365,bocriane4k@tmall.com,two,182,,39360
166,Saturn,color-blue,92.35,140.948765533,eboulton4l@cloudflare.com,eight,59,,25360
167,Chevrolet,color-blue,110.86,165.18255801,otwizell4m@diigo.com,three,142,,38403
168,Plymouth,color-red,119.13,207.025359961,vdixcee4n@so-net.ne.jp,three,79,,9415
169,Mercedes-Benz,color-red,92.1,197.803332217,dmoggle4o@home.pl,[four4,188,,33728
170,MINI,color-blac,94.2,201.019211838,jorht4p@google.com.br,BuG,181,,32986
171,Pontiac,color-yellow,118.22,194.542614356,jsplevins4q@google.co.jp,three,62,,28032
172,Jeep,color-blac,109.65,185.701412984,gwisbey4r@icio.us,twelve,204,,39062
173,Buick,color-blac,89.74,199.099103693,galleburton4s@posterous.com,two,140,9096.57,25936
174,Plymouth,color-yellow,98.13,203.226021047,mmachans4t@fda.gov,BuG,86,,32565
175,Mercury,color-yellow,116.79,143.155753664,jkhristyukhin4u@chron.com,two,187,,6210
176,Chevrolet,color-yellow,109.23,173.062105662,apales4v@yale.edu,five5,112,,14271
177,Chevrolet,color-yellow,102.12,170.63859994,cdaw4w@soundcloud.com,BuG,122,,22488
178,Dodge,color-red,115.82,174.569510072,lbew4x@patch.com,[four4,157,,29503
179,Lincoln,color-red,96.99,147.978204133,gletteresse4y@skyrock.com,twelve,235,,22513
180,Cadillac,color-yellow,113.91,141.774408129,eblockwell4z@clickbank.net,eight,135,,21316
181,Chrysler,,,168.12171711,jdelgua50@vistaprint.com,five5,195,,43617
182,Kia,color-blac,106.13,142.255627856,achurchyard51@photobucket.com,three,198,,39714
183,Mercury,color-red,99.19,168.771593418,llempel52@hhs.gov,twelve,168,,38701
184,Chevrolet,color-yellow,95.39,181.537890056,sjanko53@unicef.org,six6,122,,35810
185,Jeep,color-yellow,111.65,177.576229297,fkittow54@wired.com,two,240,,16763
186,Mercedes-Benz,color-blac,105.01,187.628907895,gburstowe55@hubpages.com,eight,233,,14687
187,Maybach,color-yellow,89.45,146.510992724,lshowte56@who.int,twelve,216,,23495
188,Mitsubishi,color-red,93.85,151.508195029,pgarm57@shareasale.com,two,112,,21051
189,Pontiac,color-blue,100.11,158.146478648,nclash58@ox.ac.uk,twelve,173,,36346
190,Spyker,color-red,92.18,158.521917512,jallchorne59@upenn.edu,eight,162,,15188
191,Ford,color-yellow,93.28,173.533611652,kswinfon5a@behance.net,five5,125,,13980
192,Audi,color-blac,103.59,169.550964728,csexton5b@yellowbook.com,three,153,,7378
193,Isuzu,color-blue,95.89,199.535225241,ichidzoy5c@mapy.cz,BuG,183,,7006
194,Ford,color-yellow,94.32,172.036265796,afolk5d@t-online.de,six6,94,,15863
195,Chevrolet,color-yellow,96.1,159.99015461,fgierth5e@vimeo.com,eight,91,,36830
196,Ford,color-yellow,92.22,153.062621519,mrookesby5f@huffingtonpost.com,two,163,,43843
197,Lincoln,color-yellow,98.4,194.38406784,rnowell5g@forbes.com,six6,161,,24087
198,Ford,color-blac,92.25,192.05402243,gnazaret5h@blogger.com,two,90,,22900
199,Buick,color-yellow,104.11,180.670143419,gvarran5i@w3.org,BuG,137,,13593
200,Chrysler,color-blue,100.92,203.585352752,hpinch5j@wikimedia.org,six6,157,1822.36,8855
201,Mitsubishi,color-blac,114.29,180.685798001,lbassano5k@dion.ne.jp,twelve,201,,13735
202,Chrysler,color-red,104.07,143.17317193,smanzell5l@soup.io,three,68,,41766
203,Chevrolet,color-blue,102.71,185.78313935,bcregan5m@accuweather.com,eight,228,3773.05,14647
204,Saab,color-red,92.14,182.09968352,ocourtes5n@va.gov,BuG,150,,18838
205,Mitsubishi,color-red,93.6,151.66891404,fcunnane5o@infoseek.co.jp,eight,133,,34802
206,Porsche,color-yellow,102.66,206.070306738,aclorley5p@wordpress.org,six6,149,,15766
207,Ford,color-blue,98.01,204.627909848,vgregore5q@yandex.ru,twelve,178,,27363
208,Nissan,color-red,108.13,180.771582586,ebonfield5r@wordpress.org,twelve,173,,36891
209,Cadillac,color-blac,90.23,202.37891328,bmeredith5s@hhs.gov,eight,171,,28356
210,Kia,color-blue,115.21,,bnannoni5t@multiply.com,twelve,110,,20357
211,Nissan,color-blue,113.08,200.832559672,jkubicka5u@marriott.com,BuG,49,,12450
212,Volvo,color-blue,113.27,157.448906474,jvosse5v@cafepress.com,three,231,,14714
213,Volkswagen,color-yellow,108.93,189.074349849,sivantsov5w@lycos.com,BuG,125,8198.63,20517
214,Plymouth,color-blac,116.07,159.283413882,gubsdell5x@youku.com,BuG,131,,10600
215,Cadillac,color-blac,106.89,140.0841695,hgoodread5y@amazon.com,eight,196,,5429
216,Dodge,color-yellow,101.91,163.909786571,gsoule5z@etsy.com,BuG,113,,9763
217,Nissan,color-blue,91.41,176.788943622,mflemming60@accuweather.com,five5,93,,8710
218,Bentley,color-blac,115.75,203.695809966,hbegwell61@indiegogo.com,eight,201,,29783
219,Audi,color-red,93.36,172.025274616,ashellard62@alibaba.com,two,105,,8139
220,Mitsubishi,color-red,116.98,159.537195053,epaine63@merriam-webster.com,twelve,177,,41242
221,Nissan,color-blac,95.46,170.312952955,afoyston64@vkontakte.ru,BuG,228,,40666
222,Jeep,color-red,117.44,156.951155143,afrow65@webmd.com,three,150,,9038
223,Ford,color-red,111.35,205.174994859,nsurphliss66@cyberchimps.com,twelve,191,,8463
224,Toyota,color-red,104.35,142.777352985,mdando67@time.com,two,164,,20065
225,Pontiac,color-blue,109.44,149.541400329,amarkos68@domainmarket.com,two,236,,20490
226,Porsche,color-red,100.56,176.350980506,gattac69@storify.com,two,178,,29001
227,Saab,color-blue,95.13,195.946155769,stingly6a@1688.com,two,87,,24631
228,Porsche,color-red,90.45,166.879030493,msalvidge6b@home.pl,[four4,116,,5828
229,Audi,color-blac,119.29,190.432664494,tpaxman6c@ask.com,two,218,,41987
230,Mitsubishi,color-red,116.12,205.37282063,cingyon6d@dell.com,[four4,223,898.55,11350
231,Jeep,color-yellow,100.48,193.294608224,rsilvester6e@meetup.com,five5,168,,37627
232,Ford,color-red,97.57,201.13209141,candrejs6f@netlog.com,five5,98,,17945
233,Toyota,color-red,94.83,173.194415514,gbourgaize6g@gnu.org,[four4,221,7495.28,9548
234,Chevrolet,color-blac,97.93,150.878957403,aluchelli6h@google.ca,eight,208,,6284
235,Chevrolet,color-blue,91.12,149.150608123,iwohler6i@wix.com,BuG,129,,17811
236,Volvo,,,156.226898123,bmacmillan6j@icio.us,two,188,,7533
237,GMC,color-blue,91.54,177.931475131,dgoolden6k@multiply.com,[four4,129,,36985
238,Toyota,color-blue,106.93,144.936299437,brawdall6l@desdev.cn,six6,63,,36751
239,Dodge,color-red,98.69,202.078598657,rpulley6m@cargocollective.com,eight,228,,16574
240,Mercury,color-yellow,107.11,203.176131823,meastcourt6n@umn.edu,six6,74,,39862
241,Mitsubishi,color-blue,91.16,,bsunderland6o@360.cn,two,188,,
242,Mazda,color-red,113.29,199.422103864,dtoal6p@chron.com,[four4,67,,44742
243,Buick,color-red,115.33,180.612324635,pbestwick6q@altervista.org,five5,219,,37945
244,Ford,color-blue,95.92,153.323208896,gbackson6r@sfgate.com,two,137,,39309
245,Jaguar,color-yellow,111.93,192.050671579,byglesia6s@irs.gov,five5,233,,14368
246,GMC,color-blac,101.47,158.94837363,lformilli6t@ftc.gov,twelve,84,,18773
247,Jeep,color-yellow,103.71,174.552728707,brembrandt6u@craigslist.org,six6,188,,28204
248,Mitsubishi,color-yellow,106.51,161.184960023,mcoye6v@bbc.co.uk,two,179,,42393
249,Saab,color-blac,111.51,166.003728148,scoat6w@chron.com,two,208,,27056
250,Chevrolet,color-blac,116.79,195.595999305,bcowdrey6x@tinypic.com,eight,91,,42335
251,Citroën,color-yellow,118.31,201.378069844,jthulborn6y@feedburner.com,[four4,182,,27959
252,Porsche,color-blue,119.68,184.116881728,lkaplan6z@mapy.cz,eight,152,,23570
253,Volkswagen,color-blue,100.47,189.872997633,ckobpa70@macromedia.com,five5,97,,37053
254,BMW,color-blue,91.1,201.556718267,afosh71@soup.io,BuG,77,8648.56,25378
255,Saab,color-red,97.21,175.319401953,jpryell72@infoseek.co.jp,[four4,169,,37257
256,Nissan,color-blac,119.92,164.593872414,ciannelli73@go.com,six6,52,,33298
257,Land Rover,color-blue,96.29,193.778180715,rrennison74@seattletimes.com,six6,60,,43294
258,GMC,color-yellow,89.27,170.721772092,spfeifer75@nhs.uk,BuG,237,,11260
259,Mercury,,,151.404832154,awaltho76@usda.gov,five5,236,,31783
260,Pontiac,color-red,96.33,166.158219253,broby77@nbcnews.com,eight,237,,27078
261,Land Rover,,,193.792022116,dohingerty78@gizmodo.com,three,58,,24016
262,Mitsubishi,color-blac,119.44,172.471878641,wmacdunleavy79@yellowbook.com,three,71,,31476
263,Mercury,color-red,99.4,168.1147438,afidilis7a@netscape.com,five5,232,7140.73,5042
264,Nissan,color-blue,92.66,195.319013752,ldudley7b@delicious.com,twelve,107,,
265,Mazda,,,204.211248453,efantini7c@infoseek.co.jp,three,179,,42649
266,GMC,color-yellow,105.99,165.437087047,ncowsby7d@purevolume.com,BuG,233,,20564
267,Subaru,color-blac,104.71,142.064468652,svankeev7e@joomla.org,two,64,,29810
268,Honda,,,152.915025379,jtruwert7f@icq.com,six6,117,,8196
269,Chevrolet,color-blac,102.23,172.60014763,ilearned7g@comcast.net,five5,104,,27427
270,Lexus,color-blue,115.69,147.924830329,catherton7h@xinhuanet.com,five5,173,,10442
271,Chevrolet,color-blac,108.68,197.510908661,nvandecappelle7i@ucoz.ru,[four4,77,,41565
272,Volvo,color-yellow,116.42,191.067942456,cwortley7j@angelfire.com,five5,195,,
273,Dodge,color-yellow,105.49,156.006266657,lruppertz7k@myspace.com,BuG,190,,34987
274,Kia,,,146.535860062,eclift7l@vk.com,six6,227,,16371
275,Panoz,color-blue,104.02,206.553592772,mrizzardo7m@businessweek.com,BuG,81,,21491
276,Lexus,color-red,99.78,204.507251374,lswenson7n@timesonline.co.uk,two,125,,15596
277,BMW,color-yellow,104.93,154.485524395,llackie7o@accuweather.com,six6,141,,22468
278,Dodge,color-yellow,102.61,200.59493885,pgrent7p@time.com,[four4,53,,22498
279,Porsche,color-yellow,112.6,157.233906622,cleverage7q@ucsd.edu,two,155,,26391
280,Chevrolet,color-yellow,98.73,151.738310789,kbritten7r@ox.ac.uk,six6,64,,36790
281,Chevrolet,color-blac,100.57,159.867004038,ksenechault7s@hubpages.com,[four4,188,,16240
282,Hyundai,color-red,100.57,197.372376819,wdudney7t@wired.com,six6,122,,
283,BMW,color-red,105.37,179.388850062,hquogan7u@msu.edu,two,60,,27570
284,Ford,color-red,111.23,151.864042574,lthrussell7v@youku.com,six6,69,,28193
285,Kia,color-blue,93.7,145.588032043,fmitchely7w@about.com,eight,205,,21149
286,Mercedes-Benz,color-blue,94.47,194.148876333,mplampeyn7x@ifeng.com,six6,212,,35026
287,Mazda,color-red,109.22,207.35160459,wbrotherhood7y@dailymail.co.uk,eight,215,,16763
288,Buick,color-red,108.59,198.541034258,eeadmeads7z@ibm.com,five5,50,,8794
289,Mercedes-Benz,color-yellow,95.12,173.526979627,dwoodburne80@ft.com,two,208,,35021
290,Ford,color-blue,116.81,206.878984171,vionesco81@bloomberg.com,three,224,,43765
291,Subaru,color-yellow,91.71,,bescalante82@nifty.com,eight,182,,10007
292,Saab,color-yellow,109.93,159.311779097,ppegler83@acquirethisname.com,eight,139,,32986
293,Bentley,color-blue,89.59,180.048058546,bsabathe84@meetup.com,five5,108,,6028
294,Lexus,color-red,91.0,178.717295218,dtosh85@virginia.edu,twelve,224,,44864
295,Buick,color-red,108.24,187.020322509,kjouen86@sourceforge.net,twelve,115,,31472
296,Honda,color-red,96.21,144.127731127,snealon87@nationalgeographic.com,BuG,228,,18056
297,GMC,color-yellow,106.96,165.601753354,ccowling88@behance.net,[four4,52,,20153
298,Suzuki,color-red,119.35,174.225061098,cmccritichie89@mtv.com,three,101,,27728
299,Oldsmobile,,,155.129231313,dfrancescone8a@sitemeter.com,six6,84,,25651
300,Chevrolet,color-blue,91.01,172.20780003,jhoneywood8b@fema.gov,five5,211,,44085
301,GMC,,,189.550041746,kholdall8c@list-manage.com,BuG,165,,37249
302,Toyota,color-yellow,115.13,179.306736813,ktregenza8d@disqus.com,three,177,,42276
303,Dodge,color-red,99.09,182.34546917,mgrimditch8e@ox.ac.uk,two,86,,43276
304,Mazda,color-blue,111.53,198.327539157,vgiacopazzi8f@nsw.gov.au,six6,242,,44319
305,Mitsubishi,,,194.115010684,gpoundford8g@constantcontact.com,eight,135,,35729
306,GMC,,,198.69839007,dlyven8h@webs.com,[four4,167,,32612
307,Acura,color-blac,105.75,157.278538925,tlelande8i@omniture.com,three,94,,42018
308,Daewoo,color-yellow,99.16,,hphuprate8j@archive.org,two,191,,19302
309,Subaru,color-yellow,109.47,204.46329062,lfrancesch8k@etsy.com,[four4,144,,21561
310,Lexus,color-red,88.68,188.066930629,aspini8l@cornell.edu,three,77,,12888
